,n_req,timestamp_x,stations,StationName,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce
48,134,2010-01-02,3,BERGEN POINT,35.6,33.3,41.2,40.13438489176157,0.0,2.5,7.0,12.719676386140025,0,0.0,0
50,131,2010-01-02,25,KINGS POINT,34.5,32.2,37.9,40.13438489176157,0.0,1.4,2.9,7.8404823258759375,0,0.0,0
51,1365,2010-01-02,26,LA GUARDIA AIRPORT,35.1,30.2,39.0,31.5,0.23,2.8,8.0,13.91336343034282,1,1.2,1
52,361,2010-01-02,39,NYC CENTRAL PARK,35.9,33.1,39.9,32.0,0.25,2.3,6.0,11.537468434989055,1,0.0,1
49,209,2010-01-02,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,35.1,30.2,41.0,31.6,0.29,2.4,8.0,13.867447058135527,1,0.0,1
98,221,2010-01-03,3,BERGEN POINT,31.6,24.1,39.6,40.13438489176157,0.0,11.7,21.0,30.005249657570296,0,0.0,0
99,408,2010-01-03,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,30.5,21.0,41.0,19.7,0.01,17.4,28.0,35.0,1,0.0,1
101,2017,2010-01-03,26,LA GUARDIA AIRPORT,29.2,19.9,39.0,20.5,0.01,16.8,26.0,35.0,1,0.0,1
102,532,2010-01-03,39,NYC CENTRAL PARK,28.8,19.0,39.9,18.2,0.01,9.5,15.9,27.0,0,0.0,1
100,164,2010-01-03,25,KINGS POINT,31.2,22.3,38.7,40.13438489176157,0.0,11.1,20.0,28.777125334212037,0,0.0,0
151,322,2010-01-04,3,BERGEN POINT,20.9,18.5,23.7,40.13438489176157,0.0,15.6,23.9,33.814758605228626,0,0.0,0
153,228,2010-01-04,25,KINGS POINT,20.4,18.7,22.5,40.13438489176157,0.0,17.9,22.9,32.91952798037323,0,0.0,0
154,3001,2010-01-04,26,LA GUARDIA AIRPORT,19.7,17.1,32.0,8.2,0.0,22.5,28.0,36.9,0,0.0,1
155,831,2010-01-04,39,NYC CENTRAL PARK,18.8,17.1,21.9,5.4,0.02,12.5,18.1,29.9,0,0.0,1
152,556,2010-01-04,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,19.8,17.1,33.1,4.8,0.0,22.8,28.9,41.0,0,0.0,1
208,688,2010-01-05,39,NYC CENTRAL PARK,23.0,19.0,30.0,9.1,0.0,9.7,15.9,22.9,0,0.0,0
207,2484,2010-01-05,26,LA GUARDIA AIRPORT,24.2,18.0,30.9,11.6,0.0,17.5,22.9,33.0,0,0.0,0
206,240,2010-01-05,25,KINGS POINT,24.4,21.4,31.1,40.13438489176157,0.0,11.6,15.9,24.081596762777114,0,0.0,0
205,572,2010-01-05,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,24.1,18.0,32.0,8.3,0.0,16.6,25.1,33.0,0,0.0,0
204,356,2010-01-05,3,BERGEN POINT,23.8,20.5,30.7,40.13438489176157,0.0,12.0,16.9,25.28676290003173,0,0.0,0
254,246,2010-01-06,3,BERGEN POINT,25.2,21.6,30.9,40.13438489176157,0.0,9.5,13.0,20.478711490051587,0,0.0,0
255,444,2010-01-06,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,25.4,19.9,32.0,10.4,0.0,13.9,18.1,24.1,0,0.0,0
258,585,2010-01-06,39,NYC CENTRAL PARK,24.4,19.9,30.0,11.3,0.0,8.4,11.1,21.0,0,0.0,0
257,2068,2010-01-06,26,LA GUARDIA AIRPORT,25.4,21.0,30.9,12.8,0.0,14.3,19.0,25.1,0,0.0,0
256,290,2010-01-06,25,KINGS POINT,25.4,22.1,30.4,40.13438489176157,0.0,10.0,14.0,21.695356720358028,0,0.0,0
310,1902,2010-01-07,26,LA GUARDIA AIRPORT,29.2,21.9,34.0,15.5,0.0,15.4,19.0,24.1,0,0.0,0
311,565,2010-01-07,39,NYC CENTRAL PARK,28.4,26.1,34.0,13.8,0.0,8.4,14.0,22.9,0,0.0,1
307,310,2010-01-07,3,BERGEN POINT,29.3,27.3,34.2,40.13438489176157,0.0,11.3,19.0,27.640833755268353,0,0.0,0
308,401,2010-01-07,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,29.4,21.0,36.0,12.8,0.0,15.2,20.0,26.0,0,0.0,0
309,253,2010-01-07,25,KINGS POINT,29.0,26.8,33.8,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
360,219,2010-01-08,3,BERGEN POINT,33.0,30.7,38.1,40.13438489176157,0.0,10.6,19.0,27.560480103905594,0,0.0,0
361,369,2010-01-08,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,32.7,27.0,39.9,19.5,0.0,14.1,22.0,27.0,0,0.0,0
362,211,2010-01-08,25,KINGS POINT,32.6,29.3,37.8,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
363,1774,2010-01-08,26,LA GUARDIA AIRPORT,32.7,27.0,37.9,21.2,0.0,14.1,20.0,26.0,0,0.0,0
364,538,2010-01-08,39,NYC CENTRAL PARK,32.1,28.4,37.0,20.6,0.0,8.6,14.0,22.9,0,0.0,0
413,170,2010-01-09,3,BERGEN POINT,31.1,28.6,35.4,40.13438489176157,0.0,5.2,16.9,24.506184572507767,0,0.0,0
417,401,2010-01-09,39,NYC CENTRAL PARK,31.2,26.1,34.0,22.7,0.03,5.4,15.9,26.0,0,0.0,1
416,1371,2010-01-09,26,LA GUARDIA AIRPORT,32.3,28.0,37.9,23.4,0.0,8.7,24.1,28.0,0,0.0,1
415,121,2010-01-09,25,KINGS POINT,32.1,29.5,34.9,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
414,291,2010-01-09,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,31.1,27.0,39.9,23.2,0.0,9.3,22.9,28.9,0,0.0,1
468,288,2010-01-10,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,24.8,19.9,33.1,6.7,0.03,15.7,22.9,33.0,0,0.0,0
467,166,2010-01-10,3,BERGEN POINT,25.4,21.7,30.2,40.13438489176157,0.0,12.4,16.9,25.332679272239016,0,0.0,0
469,117,2010-01-10,25,KINGS POINT,25.1,21.2,30.7,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
471,532,2010-01-10,39,NYC CENTRAL PARK,24.0,19.9,30.0,7.2,0.05,8.7,14.0,25.1,0,0.0,0
470,1587,2010-01-10,26,LA GUARDIA AIRPORT,25.2,21.0,34.0,9.7,0.03,13.7,18.1,27.0,0,0.0,0
524,2341,2010-01-11,26,LA GUARDIA AIRPORT,21.7,15.1,30.9,2.6,0.0,10.7,14.0,18.1,0,0.0,0
525,696,2010-01-11,39,NYC CENTRAL PARK,20.4,14.0,28.0,0.4,0.0,6.1,11.1,15.0,0,0.0,0
522,455,2010-01-11,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,21.5,14.0,32.0,-0.9,0.0,11.2,14.0,21.8331058369799,0,0.0,0
523,239,2010-01-11,25,KINGS POINT,21.8,15.8,28.6,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
521,344,2010-01-11,3,BERGEN POINT,22.0,16.2,29.8,40.13438489176157,0.0,9.7,14.0,21.66091944120256,0,0.0,0
579,521,2010-01-12,39,NYC CENTRAL PARK,25.5,21.0,30.9,8.1,0.0,6.5,8.9,15.381414661802864,0,0.0,0
578,2147,2010-01-12,26,LA GUARDIA AIRPORT,26.8,15.1,32.0,8.6,0.0,8.3,12.0,17.1,0,0.0,0
576,455,2010-01-12,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,26.3,14.0,32.0,7.5,0.0,9.5,12.0,19.31946172500426,0,0.0,0
575,340,2010-01-12,3,BERGEN POINT,25.0,20.1,30.9,40.13438489176157,0.0,4.4,8.9,15.14035370771458,0,0.0,0
577,261,2010-01-12,25,KINGS POINT,26.9,23.2,31.3,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
630,532,2010-01-13,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,31.6,21.0,37.0,13.8,0.0,10.6,18.1,29.9,0,0.0,0
629,358,2010-01-13,3,BERGEN POINT,30.8,29.3,33.6,40.13438489176157,0.0,8.1,15.9,23.679828505963307,0,0.0,0
631,230,2010-01-13,25,KINGS POINT,31.2,28.6,34.7,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
632,2225,2010-01-13,26,LA GUARDIA AIRPORT,31.5,23.0,35.1,15.4,0.0,11.6,19.0,29.9,0,0.0,0
633,436,2010-01-13,39,NYC CENTRAL PARK,30.4,28.0,35.1,14.5,0.0,7.1,12.0,22.0,0,0.0,0
687,457,2010-01-14,39,NYC CENTRAL PARK,27.9,24.1,35.1,12.5,0.0,8.1,15.0,22.0,0,0.0,0
686,1604,2010-01-14,26,LA GUARDIA AIRPORT,28.5,24.1,36.0,13.8,0.0,13.8,22.9,31.1,0,0.0,0
684,395,2010-01-14,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,28.2,24.1,37.0,10.5,0.0,13.4,18.1,24.1,0,0.0,0
683,259,2010-01-14,3,BERGEN POINT,28.5,25.0,36.0,40.13438489176157,0.0,10.5,22.0,31.026750305995744,0,0.0,0
685,217,2010-01-14,25,KINGS POINT,28.0,24.4,34.5,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
741,381,2010-01-15,39,NYC CENTRAL PARK,34.5,30.0,42.1,19.0,0.0,3.1,7.0,12.788550944450964,0,0.0,0
740,1835,2010-01-15,26,LA GUARDIA AIRPORT,35.4,24.3,42.1,19.5,0.0,4.6,9.9,16.322561658865553,0,0.0,0
739,188,2010-01-15,25,KINGS POINT,33.7,28.0,40.8,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
738,373,2010-01-15,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,32.3,24.1,39.0,19.8,0.0,4.9,11.1,17.748098656077808,0,0.0,0
737,253,2010-01-15,3,BERGEN POINT,33.1,28.0,42.6,40.13438489176157,0.0,2.4,5.1,10.505622739498282,0,0.0,0
791,245,2010-01-16,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,36.2,25.0,50.0,25.5,0.0,8.6,15.9,20.0,0,0.0,0
790,127,2010-01-16,3,BERGEN POINT,37.0,30.4,49.8,40.13438489176157,0.0,4.9,13.0,19.95067320966773,0,0.0,0
792,104,2010-01-16,25,KINGS POINT,38.1,34.0,46.0,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
793,1079,2010-01-16,26,LA GUARDIA AIRPORT,40.5,32.0,50.0,23.5,0.0,8.3,18.1,25.1,0,0.0,0
794,303,2010-01-16,39,NYC CENTRAL PARK,40.8,35.1,50.0,23.2,0.0,6.0,12.0,18.1,0,0.0,0
846,991,2010-01-17,26,LA GUARDIA AIRPORT,42.6,36.0,50.0,27.4,0.0,8.9,13.0,19.0,0,0.0,0
845,94,2010-01-17,25,KINGS POINT,40.8,37.9,46.4,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
847,317,2010-01-17,39,NYC CENTRAL PARK,42.5,37.9,48.9,27.4,0.0,6.5,8.9,18.1,0,0.0,0
843,116,2010-01-17,3,BERGEN POINT,42.7,39.2,48.9,40.13438489176157,0.0,6.7,11.1,17.954722331010625,0,0.0,0
844,205,2010-01-17,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,42.7,27.1,50.0,26.7,0.0,10.4,14.0,20.0,0,0.0,0
901,278,2010-01-18,39,NYC CENTRAL PARK,39.6,35.1,48.0,31.3,0.0,3.7,12.0,15.0,1,0.0,0
897,177,2010-01-18,3,BERGEN POINT,38.5,34.5,45.9,40.13438489176157,0.0,4.6,13.0,19.91623593051226,0,0.0,0
898,303,2010-01-18,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,37.3,30.9,48.9,30.9,0.0,7.3,17.1,22.0,1,0.0,0
899,132,2010-01-18,25,KINGS POINT,38.4,33.4,46.2,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
900,1332,2010-01-18,26,LA GUARDIA AIRPORT,38.8,35.1,50.0,31.0,0.0,7.7,15.9,23.633912133756017,1,0.0,1
953,216,2010-01-19,25,KINGS POINT,40.0,36.9,45.1,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
952,504,2010-01-19,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,41.4,31.1,50.0,35.0,0.66,16.1,24.1,31.1,1,0.0,0
951,271,2010-01-19,3,BERGEN POINT,42.2,37.9,50.0,40.13438489176157,0.0,13.0,19.0,27.835978337149342,0,0.0,0
954,1791,2010-01-19,26,LA GUARDIA AIRPORT,39.9,35.1,48.0,34.3,0.43,15.1,26.0,36.9,1,0.0,0
955,397,2010-01-19,39,NYC CENTRAL PARK,41.5,37.0,50.0,35.1,0.62,1.8,11.1,17.3922467714713,1,0.0,0
1006,422,2010-01-20,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,40.7,33.1,50.0,34.6,0.02,3.3,8.0,13.970758895601936,0,0.0,0
1007,225,2010-01-20,25,KINGS POINT,41.3,37.2,45.1,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1008,1702,2010-01-20,26,LA GUARDIA AIRPORT,43.6,36.0,48.0,34.8,0.04,4.4,15.0,18.1,0,0.0,0
1009,438,2010-01-20,39,NYC CENTRAL PARK,44.6,41.0,48.0,34.8,0.05,3.1,6.0,11.629301179403635,0,0.0,0
1005,301,2010-01-20,3,BERGEN POINT,41.6,35.4,46.9,40.13438489176157,0.0,2.3,7.0,12.696718200036381,0,0.0,0
1059,434,2010-01-21,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,39.0,33.1,46.0,25.7,0.0,9.8,15.9,21.0,0,0.0,0
1060,263,2010-01-21,25,KINGS POINT,38.7,35.1,44.1,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1061,1739,2010-01-21,26,LA GUARDIA AIRPORT,39.3,36.0,48.0,27.4,0.0,9.7,15.0,18.1,0,0.0,0
1062,374,2010-01-21,39,NYC CENTRAL PARK,38.3,35.1,45.0,26.2,0.0,6.0,9.9,15.9,0,0.0,0
1058,351,2010-01-21,3,BERGEN POINT,38.4,34.2,44.1,40.13438489176157,0.0,7.1,14.0,21.36246302185516,0,0.0,0
1115,419,2010-01-22,39,NYC CENTRAL PARK,35.6,30.9,41.0,21.5,0.0,2.8,6.0,11.594863900248168,0,0.0,0
1114,1571,2010-01-22,26,LA GUARDIA AIRPORT,36.8,32.0,42.1,21.8,0.0,4.9,9.9,16.356998938021018,0,0.0,0
1113,216,2010-01-22,25,KINGS POINT,35.4,30.6,41.2,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1111,285,2010-01-22,3,BERGEN POINT,35.5,30.6,41.5,40.13438489176157,0.0,4.4,8.0,14.097028919171988,0,0.0,0
1112,414,2010-01-22,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,35.0,28.9,44.1,21.5,0.0,6.1,11.1,17.885847772699687,0,0.0,0
1166,100,2010-01-23,25,KINGS POINT,36.3,33.1,43.2,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1167,1081,2010-01-23,26,LA GUARDIA AIRPORT,37.2,33.1,44.1,22.0,0.0,6.2,11.1,17.897326865751513,0,0.0,0
1165,242,2010-01-23,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,36.3,28.9,45.0,20.0,0.0,7.2,14.0,19.0,0,0.0,0
1164,163,2010-01-23,3,BERGEN POINT,36.1,32.7,42.3,40.13438489176157,0.0,6.3,11.1,17.908805958803338,0,0.0,0
1168,291,2010-01-23,39,NYC CENTRAL PARK,37.8,34.0,44.1,19.6,0.0,4.8,9.9,16.345519844969196,0,0.0,0
1218,206,2010-01-24,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,33.5,26.1,45.0,17.9,0.0,7.1,11.1,18.1,0,0.0,0
1219,102,2010-01-24,25,KINGS POINT,33.9,28.2,40.3,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1220,942,2010-01-24,26,LA GUARDIA AIRPORT,34.9,28.9,44.1,17.7,0.0,6.6,9.9,16.55214351990201,0,0.0,0
1221,285,2010-01-24,39,NYC CENTRAL PARK,34.0,28.0,39.9,18.5,0.0,3.5,7.0,12.834467316658255,0,0.0,0
1217,112,2010-01-24,3,BERGEN POINT,33.7,27.5,39.9,40.13438489176157,0.0,7.8,12.0,19.124317143123267,0,0.0,0
1273,2373,2010-01-25,26,LA GUARDIA AIRPORT,35.6,29.1,39.9,28.1,0.0,5.5,12.0,18.860298002931344,1,0.0,0
1272,441,2010-01-25,25,KINGS POINT,35.0,32.0,39.7,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1274,459,2010-01-25,39,NYC CENTRAL PARK,37.1,32.0,43.0,29.2,0.0,2.5,8.0,13.87892615118735,1,0.0,0
1270,322,2010-01-25,3,BERGEN POINT,34.8,29.1,44.4,40.13438489176157,0.0,2.5,6.0,11.560426621092699,0,0.0,0
1271,633,2010-01-25,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,34.9,27.0,48.0,28.8,0.0,4.9,13.0,15.9,1,0.0,0
1327,496,2010-01-26,39,NYC CENTRAL PARK,51.7,42.8,57.2,49.3,0.05,2.1,13.0,20.0,1,0.0,0
1325,280,2010-01-26,25,KINGS POINT,51.2,39.2,55.9,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1324,565,2010-01-26,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,49.4,44.6,53.6,46.9,0.01,19.7,35.9,45.1,1,0.0,0
1323,311,2010-01-26,3,BERGEN POINT,53.0,45.3,59.4,40.13438489176157,0.0,9.0,19.0,27.376814615076427,0,0.0,0
1326,1944,2010-01-26,26,LA GUARDIA AIRPORT,50.0,33.1,55.9,48.3,0.05,16.6,32.1,48.0,1,0.0,0
1378,261,2010-01-27,25,KINGS POINT,43.7,39.2,50.4,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1379,1736,2010-01-27,26,LA GUARDIA AIRPORT,43.3,39.0,55.9,28.9,1.19,12.7,18.1,26.0,1,0.0,0
1376,272,2010-01-27,3,BERGEN POINT,44.1,38.8,53.2,40.13438489176157,0.0,8.0,16.9,24.82759917795881,0,0.0,0
1377,495,2010-01-27,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,42.8,37.9,53.1,30.3,0.85,13.4,22.9,29.9,1,0.0,0
1380,482,2010-01-27,39,NYC CENTRAL PARK,43.6,39.0,54.0,28.3,1.22,7.2,12.0,20.0,1,0.0,0
1430,489,2010-01-28,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,35.5,30.0,46.0,18.7,0.01,11.5,17.1,22.0,0,0.0,0
1432,1918,2010-01-28,26,LA GUARDIA AIRPORT,35.8,32.0,46.0,18.2,0.0,11.2,15.9,22.0,0,0.0,0
1431,245,2010-01-28,25,KINGS POINT,36.3,33.1,41.0,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1429,276,2010-01-28,3,BERGEN POINT,34.8,30.2,38.3,40.13438489176157,0.0,7.3,12.0,19.066921677864162,0,0.0,0
1433,557,2010-01-28,39,NYC CENTRAL PARK,34.9,30.9,39.9,18.4,0.0,6.7,9.9,17.1,0,0.0,0
1486,817,2010-01-29,39,NYC CENTRAL PARK,34.8,30.2,41.0,21.8,0.0,5.4,15.9,26.0,0,0.0,1
1484,273,2010-01-29,25,KINGS POINT,35.9,31.8,41.5,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1483,601,2010-01-29,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,34.3,27.0,43.0,23.1,0.0,9.5,21.0,34.0,0,0.0,1
1485,2547,2010-01-29,26,LA GUARDIA AIRPORT,36.3,32.0,43.0,21.0,0.0,10.2,27.0,35.9,0,0.0,1
1482,286,2010-01-29,3,BERGEN POINT,34.0,30.0,41.2,40.13438489176157,0.0,4.6,15.9,23.278060249149505,0,0.0,0
1535,164,2010-01-30,3,BERGEN POINT,22.1,17.6,34.2,40.13438489176157,0.0,15.6,25.1,35.20585832328542,0,0.0,0
1536,425,2010-01-30,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,21.4,16.0,43.0,-2.5,0.08,19.1,29.9,38.1,0,0.0,0
1539,740,2010-01-30,39,NYC CENTRAL PARK,20.0,16.0,32.0,-1.6,0.09,11.5,22.0,34.0,0,0.0,0
1538,2452,2010-01-30,26,LA GUARDIA AIRPORT,21.8,17.1,43.0,2.5,0.08,19.9,27.0,39.0,0,0.0,0
1537,154,2010-01-30,25,KINGS POINT,21.9,17.4,33.4,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1592,1604,2010-01-31,26,LA GUARDIA AIRPORT,17.8,14.0,25.0,0.9,0.0,12.1,18.1,28.0,0,0.0,0
1591,135,2010-01-31,25,KINGS POINT,17.4,14.0,22.3,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1590,304,2010-01-31,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,17.5,14.0,25.0,-2.9,0.0,13.7,24.1,29.9,0,0.0,0
1589,142,2010-01-31,3,BERGEN POINT,18.2,14.7,23.5,40.13438489176157,0.0,11.0,16.9,25.171971969513503,0,0.0,0
1593,558,2010-01-31,39,NYC CENTRAL PARK,16.8,12.9,21.0,-2.1,0.0,7.6,12.0,22.0,0,0.0,0
1644,436,2010-02-01,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,21.2,14.0,30.0,0.1,0.0,11.3,15.9,20.0,0,0.0,0
1645,265,2010-02-01,25,KINGS POINT,21.1,15.3,30.2,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1646,2218,2010-02-01,26,LA GUARDIA AIRPORT,21.4,15.1,30.9,1.7,0.0,10.1,13.0,19.0,0,0.0,0
1643,312,2010-02-01,3,BERGEN POINT,21.1,15.6,30.6,40.13438489176157,0.0,9.4,16.9,24.98830648068433,0,0.0,0
1647,712,2010-02-01,39,NYC CENTRAL PARK,20.5,14.0,30.0,0.6,0.0,6.1,9.9,17.1,0,0.0,0
1697,289,2010-02-02,3,BERGEN POINT,28.4,23.9,35.1,40.13438489176157,0.0,6.0,9.9,16.483268961591072,0,0.0,0
1699,306,2010-02-02,25,KINGS POINT,30.1,27.5,35.1,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1700,2047,2010-02-02,26,LA GUARDIA AIRPORT,30.4,15.1,36.0,6.4,0.0,12.3,15.9,21.0,0,0.0,0
1701,471,2010-02-02,39,NYC CENTRAL PARK,28.9,25.0,35.1,7.3,0.0,6.9,14.0,17.1,0,0.0,0
1698,483,2010-02-02,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,29.4,15.1,37.0,7.8,0.0,12.8,17.1,22.0,0,0.0,0
1755,420,2010-02-03,39,NYC CENTRAL PARK,30.8,27.0,33.1,12.3,0.0,4.3,8.0,18.1,0,0.0,0
1754,1773,2010-02-03,26,LA GUARDIA AIRPORT,32.0,27.1,36.0,12.0,0.0,7.3,11.1,18.1,0,0.0,0
1753,263,2010-02-03,25,KINGS POINT,31.3,28.4,34.5,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1752,399,2010-02-03,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,30.4,25.0,37.0,12.6,0.0,6.5,13.0,20.134338698496894,0,0.0,0
1751,260,2010-02-03,3,BERGEN POINT,30.5,28.2,33.1,40.13438489176157,0.0,4.3,6.0,11.767050296025513,0,0.0,0
1810,448,2010-02-04,39,NYC CENTRAL PARK,31.8,28.4,37.9,25.6,0.09,3.7,9.9,17.1,0,0.0,1
1809,1722,2010-02-04,26,LA GUARDIA AIRPORT,32.0,28.0,37.9,25.0,0.04,7.3,18.1,22.0,0,1.2,1
1807,489,2010-02-04,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,31.9,25.0,39.9,23.8,0.01,6.4,17.1,24.1,0,1.2,1
1806,264,2010-02-04,3,BERGEN POINT,32.2,28.9,38.3,40.13438489176157,0.0,5.3,14.0,21.155839346922342,0,0.0,0
1808,232,2010-02-04,25,KINGS POINT,31.0,27.9,36.7,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1865,421,2010-02-05,39,NYC CENTRAL PARK,32.1,28.0,37.0,11.8,0.06,8.1,14.0,21.0,0,1.2,0
1864,1651,2010-02-05,26,LA GUARDIA AIRPORT,33.3,28.9,37.9,14.3,0.08,13.5,19.0,26.0,0,1.2,0
1863,248,2010-02-05,25,KINGS POINT,32.9,29.1,36.5,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1862,421,2010-02-05,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,33.3,28.2,39.9,10.8,0.03,13.9,20.0,28.0,0,1.2,0
1861,276,2010-02-05,3,BERGEN POINT,33.1,29.1,37.6,40.13438489176157,0.0,9.1,20.0,28.547543473175573,0,0.0,0
1916,120,2010-02-06,3,BERGEN POINT,33.3,30.4,36.1,40.13438489176157,0.0,4.1,8.0,14.06259164001652,0,0.0,0
1920,327,2010-02-06,39,NYC CENTRAL PARK,32.8,28.9,36.0,13.1,0.0,3.4,7.0,14.0,0,0.0,0
1919,1232,2010-02-06,26,LA GUARDIA AIRPORT,33.8,30.2,37.9,14.2,0.0,6.3,9.9,16.517706240746538,0,0.0,0
1918,139,2010-02-06,25,KINGS POINT,33.0,30.6,35.6,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
1917,232,2010-02-06,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,33.2,28.9,37.9,12.0,0.0,6.9,12.0,19.021005305656864,0,0.0,0
1972,252,2010-02-07,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,28.9,24.1,37.0,15.7,0.0,15.3,24.1,33.0,0,1.2,1
1971,135,2010-02-07,3,BERGEN POINT,29.2,24.1,35.1,40.13438489176157,0.0,12.2,21.0,30.06264512282941,0,0.0,0
1975,332,2010-02-07,39,NYC CENTRAL PARK,28.7,24.1,35.1,12.9,0.0,12.1,20.0,27.0,0,0.0,1
1974,1275,2010-02-07,26,LA GUARDIA AIRPORT,30.1,25.0,37.0,15.0,0.0,15.2,27.0,34.0,0,0.0,1
1973,84,2010-02-07,25,KINGS POINT,29.3,25.0,34.2,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
2028,239,2010-02-08,25,KINGS POINT,24.7,18.9,33.6,40.13438489176157,0.0,11.9,15.0,23.072709253389988,0,0.0,0
2030,471,2010-02-08,39,NYC CENTRAL PARK,23.8,17.1,34.0,6.0,0.0,8.7,14.0,21.0,0,0.0,0
2029,2173,2010-02-08,26,LA GUARDIA AIRPORT,24.8,18.0,35.1,8.3,0.0,15.4,20.0,27.0,0,0.0,0
2027,549,2010-02-08,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,24.0,16.0,35.1,6.9,0.02,15.1,19.0,27.0,0,1.2,0
2026,234,2010-02-08,3,BERGEN POINT,25.2,18.3,35.1,40.13438489176157,0.0,13.4,18.1,26.838569920814045,0,0.0,0
2082,441,2010-02-09,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,28.4,17.1,39.0,10.3,0.0,15.0,20.0,31.1,0,1.2,0
2081,198,2010-02-09,3,BERGEN POINT,28.0,21.0,37.4,40.13438489176157,0.0,10.5,16.9,25.114576504254387,0,0.0,0
2085,414,2010-02-09,39,NYC CENTRAL PARK,27.7,23.0,37.0,11.2,0.0,8.8,15.0,21.0,0,0.0,0
